epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1291.06,0.94704,0.72493,1.41426,0.95296,0.9403,0.96978,0.5888,1.3702,0.65128,1.10926,0.000166259,0.000166259,0.0669144
2,1398.77,0.9341,0.67822,1.39501,0.96025,0.95896,0.97576,0.59661,1.22205,0.62481,1.00641,0.00033276,0.00033276,0.0337476
3,1503.79,0.90104,0.65316,1.37017,0.97334,0.95374,0.98638,0.72239,1.00464,0.58426,0.96167,0.000498597,0.000498597,0.000580097
4,1608.46,0.88495,0.66034,1.35776,0.96301,0.98134,0.98833,0.73884,0.98113,0.57362,0.94737,0.00049776,0.00049776,0.00049776
5,1713.44,0.88408,0.64102,1.3541,0.96873,0.95896,0.97535,0.70919,1.00905,0.57029,0.96308,0.000496023,0.000496023,0.000496023
6,1817.74,0.86964,0.62275,1.34383,0.98369,0.97388,0.99096,0.7379,0.96614,0.52292,0.95898,0.000493795,0.000493795,0.000493795
7,1922.3,0.85723,0.62368,1.32923,0.9775,0.97265,0.98717,0.68821,1.08825,0.54392,0.97869,0.000491081,0.000491081,0.000491081
8,2028.78,0.84567,0.60171,1.32809,0.98379,0.98134,0.99291,0.70383,1.03285,0.51161,0.95528,0.000487886,0.000487886,0.000487886
9,2132.75,0.85072,0.6025,1.32708,0.98869,0.97848,0.99164,0.74498,0.928,0.4931,0.93355,0.000484218,0.000484218,0.000484218
10,2236.78,0.82697,0.57999,1.30886,0.98486,0.97122,0.99147,0.6724,1.16099,0.53329,0.98942,0.000480083,0.000480083,0.000480083
11,2341.71,0.84249,0.5906,1.31956,0.97035,0.9768,0.99146,0.74953,0.94485,0.50241,0.94533,0.00047549,0.00047549,0.00047549
12,2444.93,0.83609,0.57793,1.31668,0.97349,0.95902,0.9882,0.74764,0.90789,0.50639,0.94649,0.000470447,0.000470447,0.000470447
13,2551.29,0.82198,0.56191,1.30892,0.97865,0.97761,0.99058,0.7383,0.95522,0.51005,0.9444,0.000464966,0.000464966,0.000464966
14,2658.89,0.81225,0.57452,1.30454,0.96375,0.99192,0.98989,0.68022,1.07977,0.52818,0.96813,0.000459057,0.000459057,0.000459057
15,2765.57,0.82109,0.56886,1.30116,0.9787,0.97388,0.99234,0.76113,0.8937,0.49232,0.94309,0.000452732,0.000452732,0.000452732
16,2868.93,0.80291,0.5488,1.29202,0.98341,0.98507,0.9939,0.77679,0.8514,0.48601,0.91493,0.000446003,0.000446003,0.000446003
17,2976.73,0.79328,0.54872,1.28646,0.97762,0.97815,0.98865,0.71962,1.02882,0.49215,0.94901,0.000438885,0.000438885,0.000438885
18,3081.69,0.79133,0.55631,1.28564,0.98075,0.98507,0.99187,0.72453,1.00625,0.47479,0.93207,0.000431392,0.000431392,0.000431392
19,3188.4,0.78708,0.53928,1.2822,0.97743,0.96937,0.98984,0.7851,0.81064,0.48398,0.91467,0.000423538,0.000423538,0.000423538
20,3298.54,0.79732,0.54413,1.28401,0.99188,0.98507,0.99331,0.75867,0.88259,0.48685,0.93734,0.00041534,0.00041534,0.00041534
21,3409.56,0.77597,0.5258,1.27221,0.98494,0.97636,0.99104,0.73785,0.97793,0.47903,0.94557,0.000406814,0.000406814,0.000406814
22,3518.36,0.78268,0.53012,1.27251,0.97663,0.98881,0.99184,0.72808,1.0002,0.47583,0.94931,0.000397977,0.000397977,0.000397977
23,3625.43,0.78011,0.52749,1.27674,0.96869,0.98507,0.99249,0.76742,0.86105,0.46179,0.91753,0.000388847,0.000388847,0.000388847
24,3734.03,0.77472,0.52813,1.27012,0.9886,0.98507,0.99341,0.74832,0.94019,0.45166,0.93169,0.000379443,0.000379443,0.000379443
25,3841.76,0.77027,0.51471,1.26094,0.98514,0.98977,0.9935,0.74677,0.9362,0.45555,0.92785,0.000369782,0.000369782,0.000369782
26,3951.61,0.76982,0.51762,1.25959,0.97065,0.98714,0.99295,0.76443,0.87304,0.4485,0.91912,0.000359886,0.000359886,0.000359886
27,4059.8,0.75974,0.50907,1.25703,0.9888,0.9886,0.99313,0.72835,1.03068,0.45261,0.94859,0.000349774,0.000349774,0.000349774
28,4167.29,0.75882,0.50212,1.25488,0.98912,0.98134,0.99221,0.74089,0.97632,0.44953,0.93623,0.000339465,0.000339465,0.000339465
29,4275.53,0.74505,0.50673,1.24813,0.98027,0.97761,0.99164,0.78198,0.85766,0.44283,0.90673,0.000328982,0.000328982,0.000328982
30,4382.03,0.73155,0.48228,1.23057,0.98634,0.97388,0.99129,0.74401,0.92411,0.45184,0.92045,0.000318344,0.000318344,0.000318344
31,4491.31,0.73563,0.49496,1.23314,0.98492,0.98881,0.99269,0.76281,0.90262,0.44641,0.91973,0.000307574,0.000307574,0.000307574
32,4601.01,0.7412,0.48948,1.23771,0.98631,0.98134,0.99363,0.80261,0.77339,0.43753,0.89187,0.000296693,0.000296693,0.000296693
33,4709.02,0.74684,0.4905,1.24441,0.99034,0.98134,0.99304,0.77367,0.87158,0.42847,0.90776,0.000285723,0.000285723,0.000285723
34,4819.6,0.73657,0.48187,1.23091,0.98875,0.98406,0.99266,0.77651,0.86428,0.42169,0.90671,0.000274686,0.000274686,0.000274686
35,4928.93,0.73014,0.4747,1.24055,0.98762,0.98881,0.99349,0.78426,0.83959,0.42167,0.91258,0.000263604,0.000263604,0.000263604
36,5036.81,0.71957,0.47539,1.22647,0.98507,0.98454,0.99274,0.77366,0.87223,0.41178,0.90809,0.0002525,0.0002525,0.0002525
37,5145.84,0.72301,0.47574,1.21881,0.9879,0.98507,0.99234,0.75446,0.96475,0.42906,0.92399,0.000241396,0.000241396,0.000241396
38,5253.51,0.70987,0.47174,1.22391,0.98508,0.98529,0.99221,0.7519,0.95138,0.41842,0.92151,0.000230314,0.000230314,0.000230314
39,5362.88,0.71235,0.46966,1.21999,0.98512,0.98824,0.9925,0.80777,0.76563,0.38636,0.88614,0.000219277,0.000219277,0.000219277
40,5472.39,0.7141,0.47067,1.22193,0.99181,0.98507,0.99329,0.77136,0.88363,0.41531,0.91676,0.000208307,0.000208307,0.000208307
41,5580.7,0.70628,0.46137,1.21625,0.99242,0.97663,0.99246,0.73407,0.99583,0.43407,0.9355,0.000197426,0.000197426,0.000197426
42,5689.86,0.69146,0.44638,1.21315,0.9925,0.98771,0.99275,0.78828,0.81894,0.38791,0.89977,0.000186656,0.000186656,0.000186656
43,5799.73,0.70089,0.45852,1.20997,0.98432,0.98881,0.99202,0.77145,0.87535,0.39812,0.91682,0.000176018,0.000176018,0.000176018
44,5907.31,0.68999,0.45748,1.20192,0.98726,0.98507,0.99167,0.76628,0.9,0.42078,0.91406,0.000165535,0.000165535,0.000165535
45,6018.21,0.69345,0.45061,1.20449,0.98875,0.98381,0.99256,0.78938,0.82307,0.40875,0.90234,0.000155226,0.000155226,0.000155226
46,6126.76,0.67834,0.44198,1.19861,0.98925,0.98134,0.99158,0.80731,0.75438,0.38771,0.88921,0.000145114,0.000145114,0.000145114
47,6236.61,0.67051,0.43851,1.19401,0.99191,0.98507,0.99145,0.78567,0.83825,0.3922,0.90378,0.000135218,0.000135218,0.000135218
48,6346.49,0.68307,0.44121,1.19664,0.9888,0.98842,0.99119,0.79292,0.81367,0.39056,0.89202,0.000125557,0.000125557,0.000125557
49,6454.63,0.67274,0.44256,1.18849,0.9881,0.98507,0.99379,0.80565,0.76574,0.38692,0.89466,0.000116153,0.000116153,0.000116153
50,6564.08,0.66099,0.43312,1.18553,0.99156,0.98507,0.99347,0.79735,0.79583,0.3835,0.90219,0.000107023,0.000107023,0.000107023
51,6674.05,0.6687,0.4389,1.19218,0.99251,0.98831,0.99235,0.79832,0.77114,0.3865,0.8882,9.81863e-05,9.81863e-05,9.81863e-05
52,6784.27,0.66528,0.43707,1.18711,0.98838,0.98507,0.99256,0.76991,0.87,0.38812,0.90375,8.96602e-05,8.96602e-05,8.96602e-05
53,6894.38,0.66442,0.42646,1.18697,0.99074,0.98507,0.99288,0.80855,0.7665,0.3692,0.88737,8.1462e-05,8.1462e-05,8.1462e-05
54,7004.92,0.66649,0.42694,1.18614,0.98678,0.98134,0.99224,0.80133,0.78593,0.37914,0.89102,7.36083e-05,7.36083e-05,7.36083e-05
55,7115.36,0.65676,0.4218,1.17435,0.98883,0.98507,0.99343,0.81209,0.76353,0.36967,0.88849,6.61148e-05,6.61148e-05,6.61148e-05
56,7223.75,0.65449,0.41815,1.17314,0.98512,0.9884,0.99357,0.79103,0.83253,0.37891,0.89342,5.89967e-05,5.89967e-05,5.89967e-05
57,7333.97,0.6397,0.41621,1.17186,0.98878,0.98629,0.99264,0.79597,0.79971,0.37826,0.89323,5.22683e-05,5.22683e-05,5.22683e-05
58,7444.02,0.6509,0.42133,1.17545,0.98909,0.98507,0.99124,0.79105,0.81937,0.37855,0.89275,4.59431e-05,4.59431e-05,4.59431e-05
59,7552.84,0.63768,0.4152,1.16895,0.99199,0.98507,0.99151,0.80732,0.76663,0.37442,0.88581,4.00339e-05,4.00339e-05,4.00339e-05
60,7662.75,0.63612,0.41505,1.17139,0.99199,0.98507,0.99152,0.79691,0.81309,0.38147,0.89483,3.45526e-05,3.45526e-05,3.45526e-05
61,7765.74,0.42448,0.31358,1.07197,0.99119,0.97761,0.99062,0.80007,0.7852,0.3894,0.88626,2.95102e-05,2.95102e-05,2.95102e-05
62,7865.02,0.42306,0.29121,1.06243,0.98876,0.98473,0.99283,0.7765,0.88519,0.39334,0.90828,2.49169e-05,2.49169e-05,2.49169e-05
63,7963.85,0.41551,0.28725,1.06235,0.99192,0.97761,0.99304,0.78829,0.84215,0.38422,0.89667,2.07819e-05,2.07819e-05,2.07819e-05
